ma_period_5min,ma_period_hourly,trailing_stop,pnl net,return,drawdown,total closed,won total,lost total,sharpe,sqn
20,39,0.03,-4622.451355444184,-0.0007875013523054106,5.782264432676885,91,22,69,-2.6133162940512835,-3.614473818220373
20,41,0.03,-4892.295143999225,-0.0008325266473520813,5.877847531958556,91,21,70,-2.6362933471238272,-3.8633791368244794
20,43,0.03,-5068.768658546127,-0.0008634180010602284,6.051098637986525,93,21,72,-2.601589150039804,-3.9802107514487943
20,45,0.03,-5142.115514920246,-0.0008661285934434066,6.0502257790271585,92,21,71,-2.6074199338578627,-4.001960270448613
20,47,0.03,-5096.884193913265,-0.0008617562210315491,5.9666649744446465,91,21,70,-2.5345322071765652,-3.974704622455645
20,49,0.03,-4770.477757453195,-0.0008055974829072062,5.74948859820222,88,21,67,-2.5620794486251937,-3.7150250196011383
20,51,0.03,-4907.797880341906,-0.0008291528994021865,5.794296409475005,88,21,67,-2.577935488684166,-3.79034496406673
20,53,0.03,-4723.116404518417,-0.0007995276470003699,5.6253689245957625,86,21,65,-2.474063620224179,-3.5068571672452564
20,55,0.03,-4680.380423851848,-0.0007939624099817783,5.457625467246438,85,21,64,-2.630281664886723,-3.5708158115709003
20,57,0.03,-4507.971049060224,-0.0007638286051393368,5.5495552727277015,83,20,63,-2.6220718781255186,-3.4444906467406566
20,59,0.03,-4359.002344814047,-0.0007384739395593868,5.4053651195685495,82,20,62,-2.6130061829862408,-3.288963996033664
25,15,0.03,-6572.406288076552,-0.001112214780036919,7.145862853447871,120,26,94,-2.1184665764517527,-4.936575131540651
25,17,0.03,-7171.57247116819,-0.001206155523680136,7.618180080137386,121,25,96,-2.1324110510047123,-5.300464780955449
25,19,0.03,-7095.593840834053,-0.0011997356728263844,7.251369546815215,118,25,93,-2.129012848427468,-5.296135437108608
25,21,0.03,-6986.441501144295,-0.0011969512210377807,7.192086921856302,116,24,92,-2.084612944998284,-5.03972456670247
25,23,0.03,-6136.884287010471,-0.001038526681658036,6.391841605772677,108,23,85,-2.3840057571941764,-4.523385011822741
25,25,0.03,-5634.915323002081,-0.0009459994451958848,6.253259235224368,103,22,81,-2.455980415195454,-4.080421927681906
25,27,0.03,-5674.941544346035,-0.0009499733706959183,6.402002966804413,103,22,81,-2.4732901894158297,-4.1957497947825395
25,29,0.03,-5273.317946821266,-0.0008802135130902395,6.140870053992626,100,22,78,-2.5175458962764297,-4.051974595373631
25,31,0.03,-4989.690321355739,-0.0008225314520640576,5.801688192857258,97,21,76,-2.5781657682084775,-3.8469361260044415
25,33,0.03,-4570.139443059304,-0.0007629785526465859,5.5574579339776164,94,21,73,-2.6062004263672307,-3.4948166279400326
25,35,0.03,-4565.752230860518,-0.0007622753680150309,5.464982674220471,93,22,71,-2.6444562150971205,-3.49978113604572
25,37,0.03,-4666.649455596776,-0.0007857767174174488,5.792642685325347,92,22,70,-2.5771043523496573,-3.639626441872515
25,39,0.03,-4664.912844266915,-0.0007950764493385924,5.823068334283999,91,22,69,-2.591103026578674,-3.633567252553109
25,41,0.03,-4918.0348795231275,-0.0008384931545902979,5.925540275893176,91,21,70,-2.6089759243113138,-3.869902948930549
25,43,0.03,-5095.145899878968,-0.000868945501609518,6.094921540234517,93,21,72,-2.5725554087004,-3.984067720894384
25,45,0.03,-5142.713929188902,-0.0008674659484032726,6.0680053374410905,92,21,71,-2.582848023804039,-3.9982346265990483
25,47,0.03,-5047.023832168156,-0.0008543221239763301,5.989059279772618,91,21,70,-2.5111585924690027,-3.924977872402998
25,49,0.03,-4744.989040937458,-0.0008023712683529146,5.791098061397221,88,21,67,-2.546083251131053,-3.6467479366846427
25,51,0.03,-4816.642543647686,-0.0008146511321936333,5.838512606237008,88,21,67,-2.551745086166821,-3.677140123126627
25,53,0.03,-4632.713539073153,-0.0007852569731211837,5.669419164329071,86,21,65,-2.4494092343276126,-3.4022091446846776
25,55,0.03,-4632.361349749389,-0.0007880166601347224,5.528091512978689,85,21,64,-2.6140141983934067,-3.4875152490463943
25,57,0.03,-4477.999624694187,-0.0007609897115707652,5.615070141006714,83,20,63,-2.5830979121456674,-3.384512601631394
25,59,0.03,-4419.79986057367,-0.0007510970019860403,5.469230879465272,82,20,62,-2.628903264813353,-3.371087585368278
30,15,0.03,-6573.560379380002,-0.0011101627440575606,7.139862428236346,120,26,94,-2.1369904357532423,-4.937629280779177
30,17,0.03,-7058.8760701415395,-0.001184027983172469,7.491391372398256,121,25,96,-2.139647128516416,-5.210425979728124
30,19,0.03,-6968.476779473855,-0.0011774081276607741,7.142443190068196,118,25,93,-2.1383967517011615,-5.196067161814272
30,21,0.03,-6863.5879987229955,-0.0011753986730049135,7.0695529871254115,116,24,92,-2.094377233050879,-4.9576414167841785
30,23,0.03,-6019.685848731437,-0.0010151956398750525,6.406985473612516,108,23,85,-2.372415661470843,-4.409505614394567
30,25,0.03,-5585.202027928775,-0.0009343426150385535,6.2771918950146866,103,22,81,-2.45440174028274,-4.040233228560867
30,27,0.03,-5475.9172055830195,-0.0009123881996241819,6.425446824135428,102,22,80,-2.4942223878152157,-4.093730718474789
30,29,0.03,-5290.493790979412,-0.0008800182662916853,6.165426681773361,100,22,78,-2.5401510925186415,-4.0868246364283705
30,31,0.03,-4995.625608516782,-0.0008235504746135498,5.796940235360761,97,21,76,-2.597393219020939,-3.8733946588114008
30,33,0.03,-4589.779276755003,-0.000766392070545871,5.56794378339483,94,21,73,-2.6217911852754123,-3.53195715818538
30,35,0.03,-4616.055034686476,-0.0007709393596413838,5.500993530560673,93,22,71,-2.639767031982773,-3.5494094728573646
30,37,0.03,-4693.2884189317465,-0.0007904607744548021,5.80922781000396,92,22,70,-2.5871174988101076,-3.6836521192169758
30,39,0.03,-4697.959860982442,-0.0008009589824789589,5.838906387467555,91,22,69,-2.608411628282809,-3.6854484252202617
30,41,0.03,-4937.373168510117,-0.0008420358226069225,5.941074264357286,91,21,70,-2.6273971998200096,-3.912517773737106
30,43,0.03,-5113.385810897455,-0.0008723054842553234,6.109401009313422,93,21,72,-2.584323290259808,-4.025701378717288
30,45,0.03,-5159.849393222383,-0.0008705358726945884,6.081389257085138,92,21,71,-2.5942109154579,-4.039809559131282
30,47,0.03,-5038.514959418827,-0.0008509077240682761,5.978149426492395,91,21,70,-2.5228137109442565,-3.947173721506809
30,49,0.03,-4892.089949409666,-0.000825661675719664,5.760603282462315,88,21,67,-2.5916986531810724,-3.8600197231948634
30,51,0.03,-4940.495520289831,-0.0008339671246313613,5.8206695664118735,88,21,67,-2.58884963113339,-3.842510747001043
