ma_period_5min,ma_period_hourly,trailing_stop,pnl net,return,drawdown,total closed,won total,lost total,sharpe,sqn
10,15,0.05,488.44213425512544,0.0004236629442803839,4.103724922798457,58,21,37,-0.996781050203143,0.19408439829354573
10,20,0.05,157.6458588893894,0.0003587602905316883,4.229391100586625,54,20,34,-0.9768419403076223,0.06390578891689637
10,25,0.05,2077.1730018419494,0.000680344169024784,4.350138393564225,47,18,29,-0.9943740615647157,0.8757575081667394
10,30,0.05,2794.1333984056355,0.0007981384451229363,4.379953419243193,47,19,28,-0.9621888813844973,1.1540866022235035
10,35,0.05,2869.19834076887,0.0007955818589102948,4.280983598464118,44,18,26,-0.9320829104625644,1.1773664143761626
10,40,0.05,2042.3413750171142,0.0006671783695128439,4.18845604169857,43,18,25,-0.9561248059670504,0.8552693456526638
10,45,0.05,3858.6199530479016,0.0009517088757339284,4.188506206750622,38,17,21,-0.9438674587349204,1.6478821864107631
10,50,0.05,3619.3806186000734,0.0009220618355708063,4.227587325517293,38,17,21,-0.9112828988728857,1.48266392556887
10,55,0.05,3492.1634259283965,0.0008853773893004828,4.319801806774726,38,16,22,-0.9681390923144533,1.451324838868805
10,60,0.05,1097.3135051121803,0.00046736868770519657,4.300864417187581,33,11,22,-1.2649902604694923,0.4973117141315629
10,65,0.05,1213.9484123503014,0.00048223573610874733,3.9851951479716057,33,11,22,-1.2959388634391686,0.5585250250668664
10,70,0.05,607.1861933682025,0.00040039789181544575,4.268644129551903,32,10,22,-1.283807488122376,0.2770589601125199
10,75,0.05,661.3779910436904,0.0003984494289878904,4.364765894844555,30,9,21,-1.2851644920062455,0.30242103829345346
20,15,0.05,330.7027701895223,0.0003791450216199482,4.14827822066585,56,21,35,-1.0012077447426282,0.14114706340726715
20,20,0.05,-338.8130909651948,0.0002622620078805903,4.536171648527365,53,20,33,-0.9994213696762567,-0.14570608978042968
20,25,0.05,1895.49524331033,0.0006240771414226635,4.331323742145926,46,18,28,-1.0251196777611005,0.8748112150288495
20,30,0.05,2368.1086942970783,0.0007038013858697454,4.33858062561812,46,18,28,-1.002258664950168,1.0672027127836154
