momentum_period,trailing_stop,pnl net,return,drawdown,total closed,won total,lost total,sharpe,sqn
1,0.03,-9094.129850305173,-0.0015637065446940774,9.536928626394237,163,34,129,-1.9041165513232343,-5.938288224948101
1,0.05,-6425.201887892869,-0.0011242558254413333,7.969292649060387,68,13,55,-1.8980316118396028,-4.8382809783214915
1,0.07,-5057.344790372788,-0.0008785783413995208,7.034693622395315,39,7,32,-1.8750189774563446,-3.6723257291462357
1,0.1,-3474.779799058898,-0.0007398571705502534,7.116603278180292,16,2,14,-1.715772412591278,-2.8244302416547185
4,0.03,-8401.505582563503,-0.0014613042426399492,9.334524173108244,144,32,112,-1.9984319098590595,-6.16007573082089
4,0.05,-6132.334718826285,-0.001075604222070898,7.49885436325376,61,9,52,-1.9529657651097276,-4.935528340910172
4,0.07,-4056.4538412544644,-0.0007124702304499077,6.47383231418406,34,7,27,-1.7827910156047224,-2.8326616670099725
4,0.1,-3220.0847508067313,-0.0006516724896547439,6.727717399799474,15,2,13,-1.652410553895133,-2.517562393670515
7,0.03,-8345.088345060769,-0.0014420980803324449,9.062042660869098,134,29,105,-2.169537971077644,-6.153057851056688
7,0.05,-5938.1470073925575,-0.0010475372893595735,7.174521358475882,57,8,49,-2.071383735381344,-5.104852396103203
7,0.07,-4574.293141995169,-0.0007942010302701275,6.571964590630628,34,6,28,-1.9129234928369676,-3.5135697468491696
7,0.1,-3516.8115466023705,-0.0007260473612118039,6.781359577441433,15,2,13,-1.7553776825795986,-3.051846017387806
10,0.03,-7047.429307431672,-0.0011903880382273548,7.77025399801234,121,27,94,-2.2684974416775976,-5.003514246602297
10,0.05,-5575.210324862288,-0.0009865916986763316,7.20139314254341,55,9,46,-2.1290596809358244,-4.707465637505665
10,0.07,-4500.013604500782,-0.0007700489289858527,6.630697135385393,33,6,27,-1.9680064749722959,-3.3046023831997595
10,0.1,-3206.9438009620117,-0.0006746743036566043,6.813946472053537,15,2,13,-1.7618678653648159,-2.6191710660591228
13,0.03,-7585.427551281682,-0.0012702486317285628,7.867833289623169,121,22,99,-2.2007818763024476,-5.581347818695022
13,0.05,-5895.5187511163995,-0.0010473344334981415,7.150724248617583,54,8,46,-2.1423171459753405,-5.267100149190115
13,0.07,-4584.600648611932,-0.0008041727973692027,6.731250747465463,33,6,27,-1.968421714339118,-3.6710409581299417
13,0.1,-3400.6280016597184,-0.0007143444556277042,6.837787624417586,15,2,13,-1.7714988734133745,-2.9816225232607083
16,0.03,-7869.482760241243,-0.0013338475042880416,8.082830744696201,120,21,99,-2.2310011575879347,-5.801089253194595
16,0.05,-6154.290607534055,-0.0011079369965487302,7.358745827934659,54,8,46,-2.1355727623188123,-5.363063052154195
