ma_period_5min,ma_period_hourly,trailing_stop,pnl net,return,drawdown,total closed,won total,lost total,sharpe,sqn
25,10,0.05,-6172.109448580475,-0.0010997350498914622,6.4607159452614,62,13,49,-1.6124276936125435,-4.8377029859841825
25,15,0.05,-5548.388573825988,-0.0009950485951547633,5.745814560785886,58,10,48,-1.6149337093158769,-4.258704949946444
25,20,0.05,-5320.4718899209365,-0.0009251874446639473,5.579724647454286,54,11,43,-1.5679552989381793,-4.4527065692932775
25,25,0.05,-4826.243587023969,-0.0008575840180342079,5.544525181960285,50,11,39,-1.6419498775115142,-4.189008611988291
25,30,0.05,-4806.955671526735,-0.0008390050850611627,5.32262935409388,49,10,39,-1.7126932406299187,-4.090493524056871
25,35,0.05,-4233.3064756974545,-0.0007410802720654837,5.307619958732551,45,10,35,-1.7893091769314484,-3.7048887575413154
25,40,0.05,-4379.54663237549,-0.00076304863886204,5.420820520464798,43,8,35,-1.8772905943223606,-3.878744855822292
25,45,0.05,-3869.775564095239,-0.0006732392373637088,5.21800365397278,41,7,34,-1.8554525675041367,-3.4779963242909298
30,10,0.05,-6260.5837857894085,-0.0011117467319637453,6.56652652388165,62,12,50,-1.630872014127814,-4.932411531748153
30,15,0.05,-5548.258185234487,-0.0009950249772748,5.745686800008964,58,10,48,-1.6131227594560322,-4.260562892194734
30,20,0.05,-5305.490374101512,-0.0009105418754491373,5.411036261029838,54,11,43,-1.5695932986246937,-4.4503616350920385
30,25,0.05,-4845.259589496308,-0.0008486936501143281,5.38019487685441,50,11,39,-1.6472370589225458,-4.205053642424611
30,30,0.05,-4806.526157599103,-0.000825863699396993,5.1127010317836845,49,10,39,-1.7182846839637622,-4.092150987538829
30,35,0.05,-4226.935577831223,-0.00072689230171505,5.092870132501335,45,10,35,-1.7987544026938984,-3.696838732520537
30,40,0.05,-4383.859577947019,-0.0007517609040572479,5.215633048774241,43,8,35,-1.8884213071635194,-3.880395145708136
30,45,0.05,-3866.7652715873865,-0.0006608421850806265,5.012569769609069,41,7,34,-1.8668444519111125,-3.475129557500027
35,10,0.05,-6268.747256993483,-0.0011141759542795428,6.570077558508492,62,12,50,-1.6288214049928327,-4.956494959962079
35,15,0.05,-5549.463979957865,-0.000993914315213483,5.746888632781671,58,10,48,-1.614011456045701,-4.261493746119475
35,20,0.05,-5317.876878439339,-0.0009147570060225373,5.4430245195013125,54,11,43,-1.568998761226892,-4.465928767447099
35,25,0.05,-4838.823846713825,-0.0008460080565600524,5.3741971518095815,50,11,39,-1.6477491332191523,-4.194364805315563
35,30,0.05,-4798.95454890619,-0.000825366453845496,5.1076446397632385,49,10,39,-1.7176164565901628,-4.079173707119905
35,35,0.05,-4221.697945624231,-0.0007259823425362854,5.099253531605337,45,10,35,-1.796879871513159,-3.69707472363319
35,40,0.05,-4390.099170305676,-0.0007528654943009666,5.215496610450913,43,8,35,-1.887887742859063,-3.8871749232114943
35,45,0.05,-3898.0455193645594,-0.0006663498537254497,5.024830496593225,41,7,34,-1.8673421445650893,-3.4946141167049642
40,10,0.05,-6318.332020077056,-0.0011302508762974668,6.61803857678079,62,12,50,-1.6340855344954996,-4.999944424740902
40,15,0.05,-5825.393141968271,-0.0010525271370838809,6.063104299766839,59,10,49,-1.6005037084137468,-4.456686453363438
40,20,0.05,-5328.516429344973,-0.0009249321111603568,5.4992682892181595,54,11,43,-1.5675287031416518,-4.469132991446061
40,25,0.05,-4822.591011886215,-0.0008506560016635995,5.405278396736962,50,11,39,-1.644795540901443,-4.1879863120213745
40,30,0.05,-4765.874135741401,-0.0008259180263603508,5.130674672775663,49,10,39,-1.7127497740996642,-4.0533742531831205
40,35,0.05,-4218.798777992097,-0.0007327862208028291,5.141214895509559,45,10,35,-1.792867362275077,-3.696755374030452
40,40,0.05,-4390.099170305676,-0.0007601188887525954,5.261295364007338,43,8,35,-1.8828101706006513,-3.8871749232114943
40,45,0.05,-3898.0455193645594,-0.0006734627597796414,5.065144658909682,41,7,34,-1.8618297926900607,-3.4946141167049642
45,10,0.05,-6423.568099330145,-0.001149368770909994,6.736633616290259,62,12,50,-1.6313602662882098,-5.078031331400712
45,15,0.05,-5886.142779628243,-0.0010634489162156821,6.123699018437981,59,10,49,-1.5948250848450165,-4.501708883086829
45,20,0.05,-5402.956918893036,-0.0009382455340509869,5.573567065201195,54,11,43,-1.5594558993457905,-4.52274148087451
45,25,0.05,-4880.830130071112,-0.0008609602284695197,5.462649180184374,50,11,39,-1.6352958307946015,-4.232724133035913
45,30,0.05,-4834.851323678789,-0.0008364876209834601,5.199360904864757,49,10,39,-1.7056091327990655,-4.102088461453524
45,35,0.05,-4222.013113199336,-0.0007333440656308669,5.135325192830882,45,10,35,-1.794290487513451,-3.7004120021052356
45,40,0.05,-4398.727819762804,-0.0007599447194217557,5.261032907963867,43,8,35,-1.8812120929901706,-3.8963531279573513
45,45,0.05,-3907.056023996228,-0.000675049858655726,5.064883129070881,41,7,34,-1.8611572635502502,-3.503933669034373
