momentum_period,trailing_stop,pnl net,return,drawdown,total closed,won total,lost total,sharpe,sqn
42,0.05,-3448.972116144859,-0.0005983855544096033,6.180376289205492,44,10,34,-2.3635108615669873,-2.9080274082753754
45,0.05,-3363.4052192075787,-0.000585420674583522,6.007142804347741,43,11,32,-2.367525456540343,-2.7405860809265303
45,0.05,-3014.6428129383303,-0.0005146470518431174,5.70804183491443,40,10,30,-2.4944976136129924,-2.41231806587724
45,0.05,-3363.4052192075787,-0.000585420674583522,6.007142804347741,43,11,32,-2.367525456540343,-2.7405860809265303
48,0.05,-3560.9346436551928,-0.0006562557579596777,6.276566422528257,42,9,33,-2.4182786784707004,-3.0568202059427976
48,0.05,-3002.559986997192,-0.0005401643666534663,5.791039515975176,39,8,31,-2.495971790262519,-2.443409616263432
48,0.05,-3560.9346436551928,-0.0006562557579596777,6.276566422528257,42,9,33,-2.4182786784707004,-3.0568202059427976
51,0.05,-3030.7772971461186,-0.0005162144102608406,5.534737187488259,40,10,30,-2.292546233840952,-2.460288061585775
51,0.05,-2717.247700833529,-0.00044096357734921905,4.986757691884037,37,8,29,-2.4721568146800617,-2.2631796113031784
51,0.05,-3030.7772971461186,-0.0005162144102608406,5.534737187488259,40,10,30,-2.292546233840952,-2.460288061585775
54,0.05,-2645.322580094302,-0.00048571034540984573,5.363814635739478,39,10,29,-2.3019489081106377,-2.1451418436542085
54,0.05,-2391.39301062629,-0.00041952623074360357,4.781834647555559,36,9,27,-2.510525548109012,-1.902162058595236
54,0.05,-2645.322580094302,-0.00048571034540984573,5.363814635739478,39,10,29,-2.3019489081106377,-2.1451418436542085
57,0.05,-2208.4225785600215,-0.0003828906014875103,4.918519360945937,37,11,26,-2.3643210090829663,-1.7068248469882978
57,0.05,-1870.4139460916062,-0.000308239700481999,4.4121478282135405,34,10,24,-2.5322930114346582,-1.4697322807312154
57,0.05,-2208.4225785600215,-0.0003828906014875103,4.918519360945937,37,11,26,-2.3643210090829663,-1.7068248469882978
60,0.05,-2113.5522146079925,-0.0003709350178084342,4.787920738075298,36,11,25,-2.378514810256992,-1.6358963255840866
60,0.05,-1752.9577162119556,-0.0002934000682091965,4.306725531936599,33,9,24,-2.5849010049985957,-1.3792725219402595
60,0.05,-2113.5522146079925,-0.0003709350178084342,4.787920738075298,36,11,25,-2.378514810256992,-1.6358963255840866
